vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Donald Trump,Male,"$50,000 to $54,999","Completed some college, but no degree",AZ,above 80,White,Male above 80
Joe Biden,Female,"$85,000 to $89,999",Doctorate degree,NJ,71 to 80,White,Female 71 to 80
Donald Trump,Male,"Less than $14,999","Completed some college, but no degree",NC,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$65,000 to $69,999","Completed some college, but no degree",MN,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$75,000 to $79,999","Completed some college, but no degree",VA,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"$125,000 to $149,999",Masters degree,MO,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,TN,51 to 60,White,Female 51 to 60
Joe Biden,Female,"Less than $14,999",Completed some high school,LA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$35,000 to $39,999",High school graduate,CO,31 to 40,White,Female 31 to 40
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",AZ,21 to 30,White,Male 21 to 30
Donald Trump,Female,"$30,000 to $34,999","Completed some college, but no degree",FL,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$25,000 to $29,999",Completed some high school,OH,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$50,000 to $54,999",High school graduate,SD,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$65,000 to $69,999",Masters degree,WI,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$15,000 to $19,999",High school graduate,NC,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$85,000 to $89,999","Completed some college, but no degree",VA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$60,000 to $64,999",High school graduate,TX,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$40,000 to $44,999",High school graduate,FL,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$60,000 to $64,999",Associate Degree,NY,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$40,000 to $44,999",Associate Degree,MD,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$75,000 to $79,999",High school graduate,MO,above 80,White,Female above 80
Donald Trump,Female,"$30,000 to $34,999",High school graduate,MT,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$150,000 to $174,999",Associate Degree,NY,51 to 60,"Black, or African American",Male 51 to 60
Donald Trump,Female,"Less than $14,999",High school graduate,GA,51 to 60,White,Female 51 to 60
Joe Biden,Male,"Less than $14,999",Associate Degree,MI,51 to 60,White,Male 51 to 60
Joe Biden,Male,"Less than $14,999",High school graduate,LA,20 or less,White,Male 20 or less
Joe Biden,Female,"$15,000 to $19,999",Doctorate degree,NC,61 to 70,Other race,Female 61 to 70
Donald Trump,Female,"$55,000 to $59,999","Completed some college, but no degree",ID,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,FL,61 to 70,White,Male 61 to 70
Joe Biden,Female,"Less than $14,999",High school graduate,CA,51 to 60,"Black, or African American",Female 51 to 60
Donald Trump,Female,"Less than $14,999",Associate Degree,MO,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$25,000 to $29,999",High school graduate,AR,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,AL,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$15,000 to $19,999",Associate Degree,IL,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$45,000 to $49,999",High school graduate,CA,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$25,000 to $29,999",High school graduate,KY,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$70,000 to $74,999",Associate Degree,IL,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$75,000 to $79,999",High school graduate,AR,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$80,000 to $84,999",Associate Degree,FL,51 to 60,"Black, or African American",Female 51 to 60
Donald Trump,Female,"$40,000 to $44,999",Associate Degree,MI,61 to 70,Other race,Female 61 to 70
Donald Trump,Male,"$40,000 to $44,999",Associate Degree,NC,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$25,000 to $29,999",Completed some high school,VA,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$40,000 to $44,999",Masters degree,SC,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$15,000 to $19,999",High school graduate,OR,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$75,000 to $79,999",Associate Degree,OH,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$25,000 to $29,999",Associate Degree,MD,71 to 80,White,Male 71 to 80
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,IL,51 to 60,White,Female 51 to 60
Donald Trump,Male,"Less than $14,999",Associate Degree,MI,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$85,000 to $89,999",Associate Degree,PA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$100,000 to $124,999","Completed some college, but no degree",ND,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$80,000 to $84,999","Completed some college, but no degree",LA,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$15,000 to $19,999",High school graduate,NC,21 to 30,other asian or pacific islander,Female 21 to 30
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,CA,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$15,000 to $19,999","Completed some college, but no degree",PA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$70,000 to $74,999",Masters degree,PA,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$30,000 to $34,999",High school graduate,TX,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$20,000 to $24,999","Completed some college, but no degree",OH,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,VA,31 to 40,"Black, or African American",Male 31 to 40
Joe Biden,Male,"$95,000 to $99,999",Associate Degree,AZ,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$70,000 to $74,999",High school graduate,MA,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,TN,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$75,000 to $79,999",High school graduate,OR,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$40,000 to $44,999",High school graduate,VA,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$15,000 to $19,999","Completed some college, but no degree",GA,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,GA,61 to 70,"Black, or African American",Female 61 to 70
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,MD,51 to 60,Other race,Male 51 to 60
Donald Trump,Male,"$150,000 to $174,999",High school graduate,NH,71 to 80,White,Male 71 to 80
Joe Biden,Female,"Less than $14,999",Doctorate degree,MO,31 to 40,Chinese,Female 31 to 40
Joe Biden,Female,"$50,000 to $54,999","Completed some college, but no degree",IL,41 to 50,"Black, or African American",Female 41 to 50
Joe Biden,Female,"$20,000 to $24,999","Completed some college, but no degree",DE,41 to 50,"Black, or African American",Female 41 to 50
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,FL,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$45,000 to $49,999",High school graduate,KS,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$100,000 to $124,999","Completed some college, but no degree",PA,31 to 40,Other race,Female 31 to 40
Donald Trump,Male,"$175,000 to $199,999",Associate Degree,CA,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$75,000 to $79,999",High school graduate,NC,31 to 40,Other race,Female 31 to 40
Joe Biden,Female,"$200,000 to $249,999",Associate Degree,CA,21 to 30,Chinese,Female 21 to 30
Donald Trump,Male,"$45,000 to $49,999",High school graduate,TX,above 80,White,Male above 80
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,CA,71 to 80,American Indian or Alaska Native,Male 71 to 80
Joe Biden,Male,"$60,000 to $64,999",Associate Degree,CA,71 to 80,White,Male 71 to 80
Joe Biden,Female,"$15,000 to $19,999",High school graduate,LA,71 to 80,Other race,Female 71 to 80
Donald Trump,Female,"$25,000 to $29,999",High school graduate,FL,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$250,000 and above",Doctorate degree,CA,61 to 70,White,Male 61 to 70
Donald Trump,Female,"Less than $14,999","Completed some college, but no degree",MN,61 to 70,"Black, or African American",Female 61 to 70
Joe Biden,Female,"$55,000 to $59,999","Completed some college, but no degree",AL,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$25,000 to $29,999",Associate Degree,CA,71 to 80,other asian or pacific islander,Male 71 to 80
Joe Biden,Female,"$30,000 to $34,999",Associate Degree,IL,71 to 80,"Black, or African American",Female 71 to 80
Joe Biden,Male,"$50,000 to $54,999",High school graduate,WI,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$50,000 to $54,999","Completed some college, but no degree",NY,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,NJ,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$45,000 to $49,999",Masters degree,WA,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$60,000 to $64,999",Associate Degree,NV,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$75,000 to $79,999","Completed some college, but no degree",OR,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$35,000 to $39,999","Completed some college, but no degree",VA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$50,000 to $54,999",Masters degree,NY,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$25,000 to $29,999",Associate Degree,MI,61 to 70,"Black, or African American",Male 61 to 70
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",OH,61 to 70,"Black, or African American",Male 61 to 70
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",CA,31 to 40,Other race,Female 31 to 40
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,VA,71 to 80,"Black, or African American",Female 71 to 80
Donald Trump,Female,"$40,000 to $44,999",High school graduate,AZ,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$50,000 to $54,999","Completed some college, but no degree",IL,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,IL,61 to 70,"Black, or African American",Male 61 to 70
Donald Trump,Male,"$125,000 to $149,999",Masters degree,DC,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$70,000 to $74,999",Associate Degree,NJ,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$20,000 to $24,999",Completed some high school,NC,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$45,000 to $49,999","Completed some college, but no degree",CA,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,AZ,21 to 30,White,Male 21 to 30
Donald Trump,Male,"Less than $14,999",Associate Degree,CA,51 to 60,White,Male 51 to 60
Joe Biden,Female,"Less than $14,999",Completed some high school,CO,20 or less,White,Female 20 or less
Joe Biden,Male,"Less than $14,999",High school graduate,NV,51 to 60,"Black, or African American",Male 51 to 60
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,SD,71 to 80,White,Male 71 to 80
Joe Biden,Female,"$95,000 to $99,999","Completed some college, but no degree",AZ,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$45,000 to $49,999","Completed some college, but no degree",RI,51 to 60,White,Male 51 to 60
Joe Biden,Male,"Less than $14,999",High school graduate,CA,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$15,000 to $19,999","Completed some college, but no degree",NY,31 to 40,other asian or pacific islander,Male 31 to 40
Joe Biden,Male,"$95,000 to $99,999",Associate Degree,TX,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$100,000 to $124,999",Doctorate degree,IL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"Less than $14,999",Associate Degree,FL,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Female,"$70,000 to $74,999",Completed some high school,SC,20 or less,White,Female 20 or less
Joe Biden,Female,"$125,000 to $149,999",Associate Degree,MI,51 to 60,Chinese,Female 51 to 60
Joe Biden,Male,"$100,000 to $124,999",Masters degree,NY,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$80,000 to $84,999",High school graduate,CA,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$15,000 to $19,999",Associate Degree,TX,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$40,000 to $44,999",High school graduate,CA,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$70,000 to $74,999","Completed some college, but no degree",NY,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$100,000 to $124,999",Masters degree,NY,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$175,000 to $199,999",Doctorate degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$250,000 and above",Masters degree,TX,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$50,000 to $54,999",High school graduate,MO,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$60,000 to $64,999",Masters degree,NV,21 to 30,other asian or pacific islander,Male 21 to 30
Joe Biden,Male,"$15,000 to $19,999","Completed some college, but no degree",CO,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$15,000 to $19,999",High school graduate,GA,above 80,White,Female above 80
Joe Biden,Female,"$200,000 to $249,999",Masters degree,LA,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$250,000 and above",Completed some high school,WY,20 or less,White,Male 20 or less
Joe Biden,Female,"$20,000 to $24,999",High school graduate,CT,51 to 60,"Black, or African American",Female 51 to 60
Donald Trump,Male,"$100,000 to $124,999",Doctorate degree,NJ,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,FL,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$250,000 and above",Associate Degree,SC,51 to 60,White,Male 51 to 60
Joe Biden,Female,"Less than $14,999",Associate Degree,CA,51 to 60,Japanese,Female 51 to 60
Donald Trump,Female,"$150,000 to $174,999",Masters degree,GA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"Less than $14,999",Completed some high school,NY,51 to 60,"Black, or African American",Female 51 to 60
Donald Trump,Male,"$250,000 and above","Completed some college, but no degree",NJ,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$85,000 to $89,999",Associate Degree,WI,51 to 60,White,Male 51 to 60
Donald Trump,Female,"Less than $14,999",High school graduate,OH,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,VA,61 to 70,"Black, or African American",Female 61 to 70
Donald Trump,Male,"$80,000 to $84,999",Associate Degree,MI,71 to 80,Other race,Male 71 to 80
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,NJ,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$35,000 to $39,999",High school graduate,TX,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$65,000 to $69,999","Completed some college, but no degree",OH,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$35,000 to $39,999",High school graduate,MO,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$70,000 to $74,999",High school graduate,MA,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$70,000 to $74,999","Completed some college, but no degree",NC,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,CA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$75,000 to $79,999",Associate Degree,FL,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$70,000 to $74,999",High school graduate,AZ,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$20,000 to $24,999",Associate Degree,IL,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,WA,41 to 50,White,Male 41 to 50
Joe Biden,Male,"Less than $14,999",High school graduate,GA,41 to 50,"Black, or African American",Male 41 to 50
Joe Biden,Male,"$85,000 to $89,999",Associate Degree,NJ,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$50,000 to $54,999","Completed some college, but no degree",IL,31 to 40,Other race,Male 31 to 40
Donald Trump,Male,"$35,000 to $39,999",High school graduate,PA,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,OH,61 to 70,"Black, or African American",Female 61 to 70
Joe Biden,Male,"Less than $14,999",Associate Degree,CA,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$15,000 to $19,999","Completed some college, but no degree",TX,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$75,000 to $79,999",Associate Degree,UT,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$20,000 to $24,999",Associate Degree,OH,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$125,000 to $149,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Joe Biden,Male,"Less than $14,999",Completed some high school,NY,20 or less,"Black, or African American",Male 20 or less
Donald Trump,Female,"$150,000 to $174,999",High school graduate,OK,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$90,000 to $94,999",Associate Degree,GA,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$65,000 to $69,999",Associate Degree,KY,51 to 60,"Black, or African American",Male 51 to 60
Joe Biden,Male,"$35,000 to $39,999","Completed some college, but no degree",WV,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$85,000 to $89,999",Associate Degree,MI,41 to 50,Other race,Female 41 to 50
Joe Biden,Male,"$95,000 to $99,999",Associate Degree,CA,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$45,000 to $49,999",High school graduate,NC,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,KS,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$60,000 to $64,999","Completed some college, but no degree",OR,41 to 50,White,Male 41 to 50
Joe Biden,Male,"Less than $14,999",High school graduate,NH,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$175,000 to $199,999",Associate Degree,GA,51 to 60,other asian or pacific islander,Male 51 to 60
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,FL,41 to 50,other asian or pacific islander,Male 41 to 50
Joe Biden,Female,"$250,000 and above",Doctorate degree,MI,51 to 60,"Black, or African American",Female 51 to 60
Donald Trump,Male,"$40,000 to $44,999",Associate Degree,TN,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,NV,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,MO,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$95,000 to $99,999",Associate Degree,NC,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$150,000 to $174,999",Associate Degree,VA,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$50,000 to $54,999",Associate Degree,OR,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$65,000 to $69,999",3rd Grade or less,CA,51 to 60,American Indian or Alaska Native,Female 51 to 60
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,PA,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$150,000 to $174,999",Associate Degree,CA,41 to 50,Chinese,Female 41 to 50
Donald Trump,Male,"$50,000 to $54,999",Masters degree,TX,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$50,000 to $54,999",Masters degree,TN,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$60,000 to $64,999",Doctorate degree,CA,51 to 60,Other race,Male 51 to 60
Joe Biden,Female,"Less than $14,999",Associate Degree,PA,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,OR,31 to 40,White,Male 31 to 40
Donald Trump,Female,"Less than $14,999",High school graduate,PA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,LA,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$30,000 to $34,999",Associate Degree,NV,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,CA,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$25,000 to $29,999",High school graduate,SC,20 or less,White,Male 20 or less
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,SC,71 to 80,"Black, or African American",Female 71 to 80
Joe Biden,Female,"$15,000 to $19,999",Associate Degree,PA,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$20,000 to $24,999",Associate Degree,VA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$40,000 to $44,999","Completed some college, but no degree",TX,31 to 40,White,Female 31 to 40
Joe Biden,Female,"Less than $14,999",High school graduate,CA,31 to 40,Other race,Female 31 to 40
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,AZ,51 to 60,Japanese,Male 51 to 60
Joe Biden,Female,"$45,000 to $49,999","Completed some college, but no degree",NY,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$30,000 to $34,999","Completed some college, but no degree",AL,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$90,000 to $94,999",Masters degree,IA,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$25,000 to $29,999",Associate Degree,NJ,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,NV,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,IN,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,CT,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,OH,71 to 80,"Black, or African American",Female 71 to 80
Joe Biden,Male,"$95,000 to $99,999",Associate Degree,OH,31 to 40,other asian or pacific islander,Male 31 to 40
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,PA,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$15,000 to $19,999",High school graduate,NM,61 to 70,Other race,Female 61 to 70
Joe Biden,Male,"$200,000 to $249,999","Completed some college, but no degree",CO,51 to 60,White,Male 51 to 60
Joe Biden,Female,"Less than $14,999",Completed some high school,AZ,31 to 40,Other race,Female 31 to 40
Joe Biden,Female,"Less than $14,999",Associate Degree,CA,21 to 30,Other race,Female 21 to 30
Joe Biden,Female,"$125,000 to $149,999",Masters degree,HI,41 to 50,Chinese,Female 41 to 50
Donald Trump,Female,"$80,000 to $84,999",High school graduate,CA,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$200,000 to $249,999",Associate Degree,VA,41 to 50,other asian or pacific islander,Male 41 to 50
Joe Biden,Male,"$45,000 to $49,999",Associate Degree,HI,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$175,000 to $199,999",Associate Degree,NY,41 to 50,other asian or pacific islander,Male 41 to 50
Donald Trump,Male,"$100,000 to $124,999",Masters degree,CA,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$15,000 to $19,999",High school graduate,WA,61 to 70,White,Male 61 to 70
Donald Trump,Female,"Less than $14,999",Completed some high school,OH,21 to 30,White,Female 21 to 30
Joe Biden,Male,"Less than $14,999",Associate Degree,NY,20 or less,other asian or pacific islander,Male 20 or less
Donald Trump,Male,"$20,000 to $24,999",Associate Degree,TX,21 to 30,"Black, or African American",Male 21 to 30
Donald Trump,Female,"Less than $14,999",Completed some high school,NV,41 to 50,"Black, or African American",Female 41 to 50
Donald Trump,Male,"$20,000 to $24,999",Associate Degree,RI,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$100,000 to $124,999",High school graduate,NY,20 or less,"Black, or African American",Female 20 or less
Joe Biden,Male,"$40,000 to $44,999",High school graduate,OH,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$40,000 to $44,999",Associate Degree,CT,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$15,000 to $19,999",Associate Degree,NY,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,CA,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$40,000 to $44,999",Completed some high school,IL,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,AL,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$40,000 to $44,999",Completed some high school,SC,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$175,000 to $199,999","Completed some college, but no degree",TX,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$30,000 to $34,999",High school graduate,AZ,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,IL,41 to 50,White,Female 41 to 50
Joe Biden,Female,"Less than $14,999",Completed some high school,NY,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$30,000 to $34,999",Associate Degree,CA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"Less than $14,999",Associate Degree,TX,31 to 40,Other race,Female 31 to 40
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,CA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,NJ,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,MS,61 to 70,"Black, or African American",Female 61 to 70
Joe Biden,Female,"$90,000 to $94,999",Completed some high school,GA,20 or less,White,Female 20 or less
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,NY,41 to 50,other asian or pacific islander,Female 41 to 50
Joe Biden,Female,"$90,000 to $94,999",Associate Degree,NY,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$35,000 to $39,999",Completed some high school,PA,20 or less,White,Male 20 or less
Joe Biden,Female,"$85,000 to $89,999",Masters degree,FL,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$70,000 to $74,999",Associate Degree,NC,51 to 60,Chinese,Female 51 to 60
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,MN,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$100,000 to $124,999","Completed some college, but no degree",VA,20 or less,White,Female 20 or less
Joe Biden,Female,"$125,000 to $149,999","Completed some college, but no degree",TX,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$250,000 and above",Masters degree,CA,20 or less,"Black, or African American",Female 20 or less
Donald Trump,Female,"$80,000 to $84,999",Associate Degree,OR,20 or less,White,Female 20 or less
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,CA,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$90,000 to $94,999",Associate Degree,WI,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$95,000 to $99,999",Associate Degree,IL,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$20,000 to $24,999",Completed some high school,SC,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Female,"$100,000 to $124,999",Masters degree,NC,21 to 30,White,Female 21 to 30
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",CA,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$200,000 to $249,999","Completed some college, but no degree",PA,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$50,000 to $54,999","Completed some college, but no degree",NY,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$30,000 to $34,999","Completed some college, but no degree",PA,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$45,000 to $49,999","Completed some college, but no degree",MO,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$175,000 to $199,999",Associate Degree,TX,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$50,000 to $54,999",Completed some high school,OH,51 to 60,White,Male 51 to 60
Donald Trump,Female,"Less than $14,999","Completed some college, but no degree",OR,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,CA,41 to 50,Chinese,Male 41 to 50
Donald Trump,Male,"$40,000 to $44,999",Middle School - Grades 4 - 8,SD,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$35,000 to $39,999","Completed some college, but no degree",CA,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",GA,71 to 80,"Black, or African American",Female 71 to 80
Donald Trump,Male,"$25,000 to $29,999",Associate Degree,TX,41 to 50,White,Male 41 to 50
