registration,vote_intention,vote_2020,age,gender,race_ethnicity,household_income,education,state,vote_trump
Registered,"Yes, I will vote",Joe Biden,41,Female,White,"$65,000 to $69,999","Completed some college, but no degree",MI,0
Registered,"Yes, I will vote",Joe Biden,39,Male,White,"$30,000 to $34,999",Completed some high school,CT,0
Registered,"Yes, I will vote",Donald Trump,63,Female,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NC,1
Registered,"Yes, I will vote",Donald Trump,73,Female,White,"$45,000 to $49,999",Associate Degree,CT,1
Registered,"Yes, I will vote",Donald Trump,38,Female,White,"$40,000 to $44,999",Masters degree,NC,1
Registered,"Yes, I will vote",Donald Trump,69,Female,White,"$30,000 to $34,999",Associate Degree,OR,1
Registered,"Yes, I will vote",Donald Trump,61,Female,White,"$100,000 to $124,999",Masters degree,IL,1
Registered,"Yes, I will vote",Donald Trump,54,Female,White,"$30,000 to $34,999",Masters degree,CA,1
Registered,"Yes, I will vote",Joe Biden,70,Female,White,"$150,000 to $174,999",Masters degree,FL,0
Registered,"Yes, I will vote",Joe Biden,53,Female,White,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",IA,0
Registered,"Yes, I will vote",Donald Trump,52,Female,White,"$100,000 to $124,999",Masters degree,GA,1
Registered,"Yes, I will vote",Joe Biden,63,Female,White,"$75,000 to $79,999",Masters degree,NY,0
Registered,"Yes, I will vote",Joe Biden,63,Female,White,"$25,000 to $29,999",Associate Degree,WA,0
Registered,"Yes, I will vote",Joe Biden,38,Female,White,"$60,000 to $64,999","Completed some college, but no degree",MI,0
Registered,"Yes, I will vote",Joe Biden,45,Female,White,"$55,000 to $59,999",Other post high school vocational training,OH,0
Registered,"Yes, I will vote",Donald Trump,30,Female,White,"$45,000 to $49,999",High school graduate,IL,1
Registered,"Yes, I will vote",Joe Biden,66,Female,White,"$90,000 to $94,999",High school graduate,MA,0
Registered,"Yes, I will vote",Joe Biden,40,Female,Asian (Chinese),"$80,000 to $84,999",Masters degree,MO,0
Registered,"Yes, I will vote",Joe Biden,49,Female,White,"$60,000 to $64,999",Masters degree,CO,0
Registered,"Yes, I will vote",Donald Trump,60,Female,White,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",NC,1
Registered,"Yes, I will vote",Joe Biden,68,Female,White,"$70,000 to $74,999",Masters degree,NY,0
Registered,"Yes, I will vote",Donald Trump,58,Female,White,"$60,000 to $64,999",High school graduate,IN,1
Registered,"Yes, I will vote",Joe Biden,33,Female,Asian (Chinese),"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,0
Registered,"Yes, I will vote",Donald Trump,26,Female,White,"$250,000 and above","Completed some college, but no degree",FL,1
Registered,"Yes, I will vote",Donald Trump,76,Female,White,"$65,000 to $69,999","Completed some college, but no degree",PA,1
Registered,"Yes, I will vote",Donald Trump,38,Female,White,"$25,000 to $29,999",Other post high school vocational training,SC,1
Registered,"Yes, I will vote",Donald Trump,53,Female,White,"$100,000 to $124,999",Masters degree,IL,1
Registered,"Yes, I will vote",Joe Biden,64,Female,White,"$15,000 to $19,999","Completed some college, but no degree",OH,0
Registered,"Yes, I will vote",Donald Trump,49,Male,White,"$90,000 to $94,999",Masters degree,NY,1
Registered,"Yes, I will vote",Donald Trump,66,Male,White,"$65,000 to $69,999","Completed some college, but no degree",IA,1
Registered,"Yes, I will vote",Donald Trump,56,Female,White,"$125,000 to $149,999",Masters degree,WI,1
Registered,"Yes, I will vote",Joe Biden,26,Female,White,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,0
Registered,"Yes, I will vote",Donald Trump,58,Female,White,"$30,000 to $34,999",High school graduate,PA,1
Registered,"Yes, I will vote",Joe Biden,72,Female,White,"$100,000 to $124,999","Completed some graduate, but no degree",NJ,0
Registered,"Yes, I will vote",Joe Biden,36,Female,White,"$60,000 to $64,999",Masters degree,DC,0
Registered,"Yes, I will vote",Joe Biden,70,Male,White,"$100,000 to $124,999",Masters degree,PA,0
Registered,Not sure,Donald Trump,25,Male,White,"$45,000 to $49,999",Associate Degree,GA,1
Registered,"Yes, I will vote",Joe Biden,40,Female,White,"$150,000 to $174,999",Masters degree,NY,0
Registered,"Yes, I will vote",Donald Trump,42,Male,White,"$150,000 to $174,999",Masters degree,FL,1
Registered,"Yes, I will vote",Joe Biden,26,Male,"Black, or African American","Less than $14,999",Completed some high school,FL,0
Registered,"Yes, I will vote",Joe Biden,45,Male,Asian (Chinese),"Less than $14,999","Completed some college, but no degree",NY,0
Registered,"Yes, I will vote",Donald Trump,57,Female,White,"$30,000 to $34,999",Associate Degree,GA,1
Registered,"Yes, I will vote",Donald Trump,55,Female,White,"$90,000 to $94,999","Completed some college, but no degree",IL,1
Registered,"Yes, I will vote",Joe Biden,70,Male,White,"$55,000 to $59,999","Completed some college, but no degree",NM,0
Registered,"Yes, I will vote",Joe Biden,55,Female,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,0
Registered,"Yes, I will vote",Joe Biden,46,Female,Asian (Chinese),"$25,000 to $29,999","College Degree (such as B.A., B.S.)",CA,0
Registered,"Yes, I will vote",Donald Trump,32,Female,White,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",NC,1
Registered,"Yes, I will vote",Donald Trump,66,Female,White,"$40,000 to $44,999","Completed some college, but no degree",VA,1
Registered,"Yes, I will vote",Donald Trump,35,Male,White,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",MN,1
Registered,"Yes, I will vote",Donald Trump,71,Male,White,"$25,000 to $29,999",Associate Degree,WI,1
Registered,"Yes, I will vote",Joe Biden,37,Female,White,"$100,000 to $124,999",Masters degree,PA,0
Registered,"Yes, I will vote",Joe Biden,27,Female,White,"$30,000 to $34,999","Completed some college, but no degree",OK,0
Registered,"Yes, I will vote",Donald Trump,61,Female,White,"$100,000 to $124,999",Masters degree,IL,1
Registered,"Yes, I will vote",Donald Trump,47,Male,White,"$100,000 to $124,999",Masters degree,FL,1
Registered,"Yes, I will vote",Donald Trump,45,Female,White,"$55,000 to $59,999",Doctorate degree,TX,1
Registered,Not sure,Donald Trump,26,Female,White,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",IN,1
Registered,"Yes, I will vote",Donald Trump,53,Male,White,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",OH,1
Registered,"Yes, I will vote",Joe Biden,65,Male,White,"$50,000 to $54,999",Associate Degree,AZ,0
Registered,"Yes, I will vote",Donald Trump,50,Female,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,1
Registered,"Yes, I will vote",Joe Biden,67,Male,White,"$40,000 to $44,999","Completed some college, but no degree",CO,0
Registered,"Yes, I will vote",Joe Biden,55,Male,Asian (Korean),"$40,000 to $44,999",Masters degree,PA,0
Registered,"Yes, I will vote",Joe Biden,48,Female,White,"$40,000 to $44,999","Completed some college, but no degree",OH,0
Registered,"Yes, I will vote",Joe Biden,68,Male,Asian (Japanese),"$25,000 to $29,999",Associate Degree,HI,0
Registered,"Yes, I will vote",Joe Biden,57,Male,White,"$95,000 to $99,999",Masters degree,CT,0
Registered,"Yes, I will vote",Joe Biden,32,Female,White,"$150,000 to $174,999",Masters degree,FL,0
Registered,"Yes, I will vote",Joe Biden,67,Female,"Black, or African American","$60,000 to $64,999",Associate Degree,NJ,0
Registered,"Yes, I will vote",Donald Trump,52,Female,White,"Less than $14,999",Other post high school vocational training,TX,1
Registered,"Yes, I will vote",Donald Trump,73,Male,White,"$80,000 to $84,999",Associate Degree,TX,1
Registered,"Yes, I will vote",Donald Trump,81,Male,White,"$100,000 to $124,999",Masters degree,MT,1
Registered,"Yes, I will vote",Joe Biden,66,Female,White,"$15,000 to $19,999","Completed some college, but no degree",PA,0
Registered,"Yes, I will vote",Donald Trump,81,Male,Asian (Chinese),"$40,000 to $44,999","College Degree (such as B.A., B.S.)",CA,1
Registered,"Yes, I will vote",Donald Trump,65,Female,White,"$45,000 to $49,999","Completed some college, but no degree",TN,1
Registered,"Yes, I will vote",Joe Biden,62,Female,White,"$30,000 to $34,999","Completed some college, but no degree",NC,0
Registered,"Yes, I will vote",Donald Trump,21,Female,White,"$15,000 to $19,999",High school graduate,PA,1
Registered,"Yes, I will vote",Joe Biden,44,Female,Some other race,"$75,000 to $79,999",Associate Degree,CT,0
Registered,"Yes, I will vote",Donald Trump,33,Female,"Black, or African American","$100,000 to $124,999",Doctorate degree,TN,1
Registered,"Yes, I will vote",Donald Trump,58,Female,White,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",TN,1
Registered,"Yes, I will vote",Joe Biden,60,Female,White,"$100,000 to $124,999","Completed some college, but no degree",IL,0
Registered,"Yes, I will vote",Joe Biden,40,Female,White,"Less than $14,999",High school graduate,CT,0
Registered,"Yes, I will vote",Joe Biden,61,Female,White,"$55,000 to $59,999","Completed some college, but no degree",WI,0
Registered,"Yes, I will vote",Joe Biden,37,Female,White,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",FL,0
Registered,"Yes, I will vote",Joe Biden,67,Female,White,"$15,000 to $19,999","Completed some college, but no degree",VT,0
Registered,"Yes, I will vote",Joe Biden,28,Male,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Donald Trump,28,Female,White,"$15,000 to $19,999",High school graduate,KY,1
Registered,"Yes, I will vote",Donald Trump,62,Female,White,"$25,000 to $29,999","Completed some college, but no degree",MD,1
Registered,"Yes, I will vote",Joe Biden,68,Female,White,"$40,000 to $44,999",Masters degree,MO,0
Registered,"Yes, I will vote",Donald Trump,52,Female,White,"$175,000 to $199,999",Masters degree,FL,1
Registered,"Yes, I will vote",Joe Biden,73,Female,White,"$95,000 to $99,999","Completed some college, but no degree",MT,0
Registered,"Yes, I will vote",Joe Biden,38,Female,"Black, or African American","$15,000 to $19,999",Completed some high school,WI,0
Registered,"Yes, I will vote",Donald Trump,61,Female,White,"$50,000 to $54,999","Completed some graduate, but no degree",IL,1
Registered,"Yes, I will vote",Joe Biden,63,Female,White,"$150,000 to $174,999","Completed some college, but no degree",MO,0
Registered,"Yes, I will vote",Donald Trump,67,Female,White,"$70,000 to $74,999","Completed some college, but no degree",TX,1
Registered,"Yes, I will vote",Joe Biden,52,Male,"Black, or African American","$20,000 to $24,999","Completed some college, but no degree",TN,0
Registered,"Yes, I will vote",Joe Biden,25,Female,White,"$55,000 to $59,999",Associate Degree,UT,0
Registered,"Yes, I will vote",Joe Biden,44,Male,White,"$45,000 to $49,999",Associate Degree,MN,0
Registered,"Yes, I will vote",Joe Biden,74,Female,White,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",SC,0
Registered,"Yes, I will vote",Donald Trump,65,Female,White,"$50,000 to $54,999",Associate Degree,GA,1
Registered,"Yes, I will vote",Joe Biden,39,Female,White,"$35,000 to $39,999",Masters degree,CA,0
Registered,"Yes, I will vote",Donald Trump,50,Female,White,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,1
Registered,"Yes, I will vote",Donald Trump,68,Female,White,"$70,000 to $74,999",High school graduate,WV,1
Registered,"Yes, I will vote",Joe Biden,18,Male,White,"$35,000 to $39,999","Completed some college, but no degree",FL,0
Registered,"Yes, I will vote",Donald Trump,56,Female,White,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NE,1
Registered,"Yes, I will vote",Donald Trump,51,Female,White,"$15,000 to $19,999",Other post high school vocational training,MI,1
Registered,"Yes, I will vote",Joe Biden,62,Female,White,"$70,000 to $74,999",Associate Degree,AZ,0
Registered,"Yes, I will vote",Donald Trump,73,Female,White,"$25,000 to $29,999",High school graduate,TN,1
Registered,"Yes, I will vote",Joe Biden,55,Male,White,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",MA,0
Registered,"Yes, I will vote",Donald Trump,58,Female,White,"$100,000 to $124,999","Completed some college, but no degree",IL,1
Registered,"Yes, I will vote",Joe Biden,66,Female,White,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",CA,0
Registered,"Yes, I will vote",Joe Biden,74,Female,White,"$30,000 to $34,999",High school graduate,NY,0
Registered,"Yes, I will vote",Donald Trump,33,Male,White,"$15,000 to $19,999",High school graduate,CO,1
Registered,"Yes, I will vote",Joe Biden,37,Female,Asian (Japanese),"$150,000 to $174,999","College Degree (such as B.A., B.S.)",HI,0
Registered,"Yes, I will vote",Joe Biden,63,Female,White,"$175,000 to $199,999",Masters degree,CA,0
Registered,"Yes, I will vote",Donald Trump,41,Male,White,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",CA,1
Registered,"Yes, I will vote",Donald Trump,54,Female,White,"$35,000 to $39,999","Completed some college, but no degree",NY,1
Registered,"Yes, I will vote",Joe Biden,41,Male,"Black, or African American","$45,000 to $49,999","Completed some college, but no degree",DC,0
Registered,"Yes, I will vote",Joe Biden,73,Female,White,"$70,000 to $74,999",Masters degree,FL,0
Registered,"Yes, I will vote",Donald Trump,44,Male,White,"$175,000 to $199,999",Masters degree,TX,1
Registered,"Yes, I will vote",Donald Trump,44,Male,White,"$200,000 to $249,999",Masters degree,NY,1
Registered,"Yes, I will vote",Donald Trump,40,Male,White,"$20,000 to $24,999",Associate Degree,GA,1
Registered,"Yes, I will vote",Joe Biden,23,Male,"Black, or African American","$70,000 to $74,999",High school graduate,NY,0
Registered,"Yes, I will vote",Joe Biden,32,Female,White,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",OH,0
Registered,"Yes, I will vote",Joe Biden,39,Male,White,"$200,000 to $249,999",Doctorate degree,CO,0
Registered,"Yes, I will vote",Joe Biden,32,Male,White,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",NJ,0
Registered,"Yes, I will vote",Joe Biden,57,Male,White,"$40,000 to $44,999",High school graduate,IL,0
Registered,"Yes, I will vote",Donald Trump,32,Male,"Black, or African American","$50,000 to $54,999","College Degree (such as B.A., B.S.)",MN,1
Registered,"Yes, I will vote",Donald Trump,54,Female,White,"$20,000 to $24,999",High school graduate,MO,1
Registered,"Yes, I will vote",Joe Biden,42,Female,Some other race,"$80,000 to $84,999",Masters degree,CA,0
Registered,"Yes, I will vote",Joe Biden,18,Female,White,"$100,000 to $124,999","Completed some college, but no degree",CA,0
Registered,"Yes, I will vote",Donald Trump,56,Male,White,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",PA,1
Registered,"Yes, I will vote",Donald Trump,42,Male,White,"$200,000 to $249,999",Doctorate degree,CA,1
Registered,"Yes, I will vote",Joe Biden,70,Male,White,"$35,000 to $39,999",Masters degree,AZ,0
Registered,"Yes, I will vote",Joe Biden,40,Male,"Black, or African American","$25,000 to $29,999",Completed some high school,MO,0
Registered,"Yes, I will vote",Joe Biden,57,Male,White,"$75,000 to $79,999","Completed some college, but no degree",WI,0
Registered,"Yes, I will vote",Donald Trump,40,Male,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,1
Registered,"Yes, I will vote",Joe Biden,38,Male,White,"$125,000 to $149,999",Masters degree,PA,0
Registered,Not sure,Joe Biden,27,Male,White,"Less than $14,999",High school graduate,NY,0
Registered,"Yes, I will vote",Joe Biden,38,Female,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",MN,0
Registered,"Yes, I will vote",Joe Biden,34,Male,White,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NH,0
Registered,"Yes, I will vote",Joe Biden,38,Female,White,"$35,000 to $39,999",High school graduate,MI,0
Registered,"Yes, I will vote",Joe Biden,21,Female,White,"Less than $14,999",Completed some high school,CO,0
Registered,"Yes, I will vote",Donald Trump,40,Male,White,"$175,000 to $199,999",Masters degree,VA,1
Registered,"Yes, I will vote",Joe Biden,45,Female,"Black, or African American","Less than $14,999",Completed some high school,MI,0
Registered,"Yes, I will vote",Joe Biden,19,Female,Asian (Other),"$50,000 to $54,999","Completed some college, but no degree",PA,0
Registered,"Yes, I will vote",Joe Biden,65,Female,White,"$100,000 to $124,999",Masters degree,CA,0
Registered,Not sure,Donald Trump,61,Female,White,"$20,000 to $24,999",High school graduate,AZ,1
Registered,"Yes, I will vote",Donald Trump,40,Male,White,"$250,000 and above","College Degree (such as B.A., B.S.)",KY,1
Registered,"Yes, I will vote",Joe Biden,37,Female,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NV,0
Registered,"Yes, I will vote",Joe Biden,20,Male,White,"$15,000 to $19,999","Completed some college, but no degree",IL,0
Registered,"Yes, I will vote",Joe Biden,42,Male,White,"$200,000 to $249,999",Masters degree,NY,0
Registered,"Yes, I will vote",Joe Biden,19,Female,Some other race,"$65,000 to $69,999","Completed some graduate, but no degree",GA,0
Registered,"Yes, I will vote",Joe Biden,45,Male,White,"$150,000 to $174,999",Masters degree,VA,0
Registered,"Yes, I will vote",Donald Trump,67,Female,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",IN,1
Registered,"Yes, I will vote",Joe Biden,29,Male,"Black, or African American","$35,000 to $39,999",Completed some high school,MD,0
Registered,"Yes, I will vote",Joe Biden,68,Female,White,"$50,000 to $54,999",Associate Degree,CA,0
Registered,"Yes, I will vote",Joe Biden,31,Male,Asian (Chinese),"$250,000 and above",Masters degree,NJ,0
Registered,"Yes, I will vote",Joe Biden,43,Male,White,"$30,000 to $34,999",Associate Degree,FL,0
Registered,"Yes, I will vote",Donald Trump,42,Male,Asian (Filipino),"Less than $14,999",Completed some high school,TX,1
Registered,"Yes, I will vote",Donald Trump,41,Male,White,"$200,000 to $249,999",Doctorate degree,WI,1
Registered,"Yes, I will vote",Joe Biden,19,Male,"Black, or African American","Less than $14,999",High school graduate,FL,0
Registered,"Yes, I will vote",Joe Biden,62,Male,White,"Less than $14,999","Completed some college, but no degree",MI,0
Registered,"Yes, I will vote",Joe Biden,30,Male,White,"$40,000 to $44,999",Associate Degree,CA,0
Registered,"Yes, I will vote",Joe Biden,19,Male,White,"Less than $14,999","Completed some college, but no degree",IA,0
Registered,"Yes, I will vote",Donald Trump,42,Male,White,"$200,000 to $249,999",Masters degree,OH,1
Registered,"Yes, I will vote",Joe Biden,61,Male,White,"$25,000 to $29,999",Completed some high school,MI,0
Registered,Not sure,Joe Biden,22,Female,White,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",MA,0
Registered,"Yes, I will vote",Donald Trump,39,Male,White,"$200,000 to $249,999",Doctorate degree,NJ,1
Registered,"Yes, I will vote",Joe Biden,66,Female,White,"$75,000 to $79,999",Masters degree,CA,0
Registered,"Yes, I will vote",Donald Trump,38,Male,White,"Less than $14,999",Completed some high school,TN,1
Registered,"Yes, I will vote",Joe Biden,35,Male,White,"$200,000 to $249,999",Masters degree,NY,0
Registered,"Yes, I will vote",Joe Biden,25,Male,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",MO,0
Registered,"Yes, I will vote",Donald Trump,35,Female,White,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",OH,1
Registered,"Yes, I will vote",Joe Biden,25,Male,Some other race,"Less than $14,999",Associate Degree,TX,0
Registered,"Yes, I will vote",Joe Biden,70,Male,"Black, or African American","$125,000 to $149,999",High school graduate,MD,0
Registered,"Yes, I will vote",Joe Biden,82,Female,White,"$45,000 to $49,999","Completed some college, but no degree",AZ,0
Registered,"Yes, I will vote",Donald Trump,50,Male,White,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",ME,1
Registered,Not sure,Joe Biden,20,Male,White,"Less than $14,999",High school graduate,CA,0
Registered,"Yes, I will vote",Donald Trump,35,Male,White,"$200,000 to $249,999",Doctorate degree,NJ,1
Registered,Not sure,Joe Biden,24,Female,White,"$35,000 to $39,999",Other post high school vocational training,OH,0
Registered,"Yes, I will vote",Donald Trump,56,Male,White,"$50,000 to $54,999","Completed some college, but no degree",WI,1
Registered,"Yes, I will vote",Donald Trump,51,Male,White,"$30,000 to $34,999","Completed some college, but no degree",SC,1
Registered,"Yes, I will vote",Donald Trump,31,Female,White,"$45,000 to $49,999",High school graduate,ID,1
Registered,"Yes, I will vote",Donald Trump,34,Female,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",LA,1
Registered,"Yes, I will vote",Donald Trump,30,Male,White,"$50,000 to $54,999","Completed some college, but no degree",FL,1
Registered,"Yes, I will vote",Joe Biden,31,Male,"Black, or African American","$45,000 to $49,999",High school graduate,MO,0
Registered,"Yes, I will vote",Joe Biden,18,Male,White,"$200,000 to $249,999",High school graduate,CO,0
Registered,"Yes, I will vote",Donald Trump,66,Male,White,"$20,000 to $24,999","Completed some college, but no degree",PA,1
Registered,"Yes, I will vote",Donald Trump,43,Male,White,"$200,000 to $249,999",Doctorate degree,NH,1
Registered,"Yes, I will vote",Donald Trump,37,Male,White,"$250,000 and above","College Degree (such as B.A., B.S.)",VA,1
Registered,"Yes, I will vote",Donald Trump,44,Male,Some other race,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NC,1
Registered,"Yes, I will vote",Joe Biden,54,Male,"Black, or African American","$35,000 to $39,999",High school graduate,VA,0
Registered,"Yes, I will vote",Donald Trump,69,Male,White,"Less than $14,999","Completed some college, but no degree",FL,1
Registered,"Yes, I will vote",Joe Biden,66,Female,White,"$25,000 to $29,999","Completed some college, but no degree",NE,0
Registered,"Yes, I will vote",Joe Biden,42,Male,White,"$150,000 to $174,999",Masters degree,CA,0
Registered,"Yes, I will vote",Donald Trump,66,Female,White,"$20,000 to $24,999",Completed some high school,OR,1
Registered,"Yes, I will vote",Joe Biden,77,Female,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NJ,0
Registered,"Yes, I will vote",Joe Biden,44,Female,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",PA,0
Registered,"Yes, I will vote",Joe Biden,75,Male,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",WA,0
Registered,"Yes, I will vote",Joe Biden,35,Male,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",FL,0
Registered,"Yes, I will vote",Joe Biden,32,Male,Asian (Asian Indian),"$65,000 to $69,999",Completed some high school,CA,0
Registered,"Yes, I will vote",Donald Trump,45,Male,White,"$100,000 to $124,999",Masters degree,CA,1
Registered,"Yes, I will vote",Donald Trump,53,Female,White,"$50,000 to $54,999",Other post high school vocational training,AZ,1
